id,application_id,version,min_cpu,min_disk,min_memory,rec_cpu,rec_disk,rec_mem
1,1,3,1,10,512,1,10,512
2,2,1.2.1,1,10,256,1,10,256
3,3,6.17,1,10,512,1,10,512
4,4,5.5.3,1,10,256,1,10,512
5,5,1.5.18,1,10,512,1,10,512
6,6,1.15.4,1,10,256,1,10,256
7,7,1.1.10,1,10,256,1,10,256
8,8,2.2rc2a,1,10,256,1,10,256
9,9,3.0.7-PL1,1,10,256,1,10,256
10,10,4.6.5,1,10,256,1,10,256
11,11,4.2.3,1,10,256,1,10,256
12,12,1.9.9plus,1,10,256,1,10,256
13,13,2.1.3,1,10,256,1,10,256
14,14,5.0.2,1,10,256,1,10,256
15,15,5.2.15a,1,10,256,1,10,256
16,16,2.4.4,1,10,256,1,10,256
17,17,1.4.13,1,10,256,1,10,256
18,18,8,1,10,256,1,10,256
19,19,0.3.1,1,10,256,1,10,256
20,20,0.12,1,10,256,1,10,256
21,21,2.3.1,1,10,256,1,10,256
22,22,3.3g,1,10,1024,1,10,1024
23,23,1.366,1,10,1024,1,10,1024
24,24,1.0.4,1,10,256,1,10,256
25,25,1.87plus,1,10,256,1,10,256
26,26,2.6.24-28-server,1,10,256,1,10,256
27,27,R2.1,1,10,512,1,10,512
28,28,2.5.0.5,1,10,256,1,10,256
29,29,3.5.2,1,10,1024,1,10,1024
30,30,0.9.1,1,10,256,1,10,256
31,31,5.2.4-2,1,10,256,1,10,256
32,32,5.21,1,10,256,1,10,256
33,33,0,1,10,256,1,10,256
34,34,3.6.1,1,10,1024,1,10,1024
35,35,1.4.1.0,1,10,512,1,10,512
36,36,1.0.4,1,10,256,1,10,256
37,37,3.2.0,1,10,256,1,10,256
38,38,2009-12-25c,1,10,256,1,10,256
39,39,5.1.0,1,10,256,1,10,256
40,40,0.8.0.3,1,10,256,1,10,256
41,41,0.72.4,1,10,256,1,10,256
42,42,2.4.0,1,10,512,1,10,512
43,43,1.2.1,1,10,256,1,10,256
44,44,5,1,10,256,1,10,256
45,45,2010.03.1347,1,10,256,1,10,256
46,46,2.10.12,1,10,256,1,10,256
47,47,2,1,10,256,1,10,256
48,48,3,1,10,512,1,10,512
49,49,2.8.5,1,10,256,1,10,256
50,50,1.7.1,1,10,256,1,10,256
51,51,0,1,10,256,1,10,256
52,52,6.2.1,1,10,512,1,10,512
53,53,2.50MP9,1,10,1024,1,10,1024
54,54,1.0.6pl2,1,10,256,1,10,256
55,55,1.5.6,1,10,256,1,10,256
56,56,0.11.0,1,10,256,1,10,256
57,57,0.8,1,10,256,1,10,256
58,58,1.0.0,1,10,256,1,10,256
59,59,6.17,1,10,512,1,10,512
60,60,3.3.5,1,10,256,1,10,256
70,6,1.16.0,1,10,256,1,10,256
71,1,3.0.1,1,10,512,1,10,512
72,48,3.0.1,1,10,512,1,10,512
73,5,1.5.20,1,10,512,1,10,512
74,61,5.0.0,1,10,256,1,10,256
75,62,3.2.0,1,10,512,1,10,512
76,63,3.7.0.2,1,10,256,1,10,256
77,64,1.9.5,1,10,256,1,10,256
78,65,3.3.5,1,10,256,1,10,256
79,66,2,1,10,256,1,10,256
80,67,1.8.6.1,1,10,256,1,10,256
81,68,3.6.0.4,1,10,256,1,10,256
82,69,2.4.10,1,10,256,1,10,256
83,3,6.19,1,10,512,1,10,512
84,4,6.0.1,1,10,256,1,10,512
85,57,0.83,1,10,256,1,10,256
86,25,1.90plus,1,10,256,1,10,256
87,55,1.5.8,1,10,256,1,10,256
88,34,3.6.2,1,10,1024,1,10,1024
89,36,2.0.0,1,10,256,1,10,256
90,35,1.4.1.1,1,10,512,1,10,512
91,28,2.6,1,10,256,1,10,256
92,42,2.4.1,1,10,512,1,10,512
93,19,0.4,1,10,256,1,10,256
94,7,2.0.6,1,10,256,1,10,256
95,24,1.1.1,1,10,256,1,10,256
96,16,2.4.5,1,10,256,1,10,256
97,14,5.03,1,10,256,1,10,256
98,49,2.8.6,1,10,256,1,10,256
99,2,1.2.2,1,10,256,1,10,256
100,17,1.6,1,10,256,1,10,256
101,44,5.1,1,10,256,1,10,256
102,32,5.22,1,10,256,1,10,256
103,65,4,1,10,256,1,10,256
104,59,6.19,1,10,512,1,10,512
105,60,3.3.7,1,10,256,1,10,256
106,70,2.3.8,1,10,256,1,10,256
107,71,3.7.1,1,10,1024,1,10,1741
108,21,3,1,10,256,1,10,256
109,72,0.9.5,1,10,256,1,10,512
